na,nb,road_length,road_width
1248,1249,374.469067,22
1252,1253,277.651158,14
1254,1255,36.513657,30
1256,1257,225.642592,34
1259,1260,264.029057,50
1261,1262,673.754553,35
1263,1264,116.832690,20
1265,1266,249.980684,28
1267,1268,169.597749,34
1269,1270,260.221163,32
1271,1272,89.820388,25
1274,1275,294.071126,30
1276,1277,19.606483,40
1278,1279,191.226389,38
1280,1281,251.470716,40
1282,1283,786.460435,30
1284,1285,992.795811,32
1286,1287,796.665185,30
1288,1289,57.602270,30
1294,1295,300.806787,22
1298,1299,196.366864,24
1300,1301,422.667748,30
1302,1303,335.169557,30
1304,1305,263.054678,30
1308,1309,117.892379,8
1310,1311,270.242899,42
1312,1313,201.365317,28
1314,1315,259.297114,42
1317,1318,36.417728,18
1336,1337,111.861265,28
1338,1339,295.945697,50
1340,1341,935.076426,30
1347,1348,307.449406,16
1349,1350,353.569256,20
1351,1352,191.129314,0
1353,1354,278.405686,44
1355,1356,509.318758,30
1357,1358,804.474653,30
1364,1365,298.480279,50
1366,1367,659.380392,30
1368,1369,211.306223,30
1371,1372,94.209080,18
1373,1374,97.276199,30
1379,1380,1025.724897,30
1381,1382,212.585233,40
1383,1384,309.315916,30
1385,1386,780.143663,34
1388,1389,113.784805,35
1390,1391,257.903085,30
1394,1395,603.486693,12
1396,1397,261.836375,70
1398,1399,317.234241,45
1401,1402,260.794010,12
1403,1404,258.819159,40
1405,1406,678.794754,32
1438,1439,816.799273,32
1440,1441,99.744516,40
1442,1443,325.010913,30
1444,1445,259.330986,42
1446,1447,239.947724,30
1448,1449,31.538432,0
1450,1451,259.785852,44
1462,1463,346.364457,16
1464,1465,197.861305,20
1466,1467,251.147542,30
1468,1469,21.484502,18
1470,1471,415.931226,40
1472,380,186.235842,30
1500,1501,2168.704126,36
1502,1503,194.101734,30
1504,1505,330.296539,60
1506,1507,545.572755,32
1508,1509,264.026596,28
1510,1511,377.580552,30
1513,1514,912.416266,36
1515,1516,205.610960,20
1517,1518,419.995647,30
1520,1521,83.399278,0
1522,1523,48.088952,16
1530,1531,1011.450998,36
1532,1533,352.024596,30
1540,1541,683.614743,30
1542,1543,260.174935,40
1544,1545,269.475582,18
1546,1547,315.071235,30
1548,1549,326.407913,30
1551,1552,24.998162,50
1553,1554,352.766587,26
1576,1577,729.803493,10
1579,1580,79.497263,24
1582,1583,147.341478,45
1584,1585,249.687708,38
1586,1587,880.022731,28
1592,1593,332.626555,0
1594,1595,146.835934,42
1596,1597,497.896420,33
1598,1599,266.085353,24
1600,1601,497.666277,30
1602,1603,67.348280,44
1604,1605,317.515963,30
1606,1607,122.751205,12
1608,1609,309.660586,46
1610,1611,227.526417,32
1612,1613,112.885202,44
1635,1636,99.868131,28
1638,1639,166.897989,0
1657,1658,1273.191019,20
1668,1669,1291.938860,32
1671,1672,328.556382,34
1673,1674,260.287608,45
1676,1677,397.395459,16
1678,1679,271.913794,35
1680,1681,264.123583,62
1683,1684,259.910089,44
1685,1686,698.081981,30
1687,1688,265.134580,38
1689,1690,39.189208,26
1711,1712,188.140355,34
1713,1714,354.339929,50
1716,1717,862.745245,32
1719,1720,43.197719,40
1721,1722,67.965550,22
1723,1724,254.664864,34
1725,1726,399.700462,30
1733,1734,222.611580,14
1735,1736,57.184165,40
1738,1739,129.198097,15
1740,1741,803.700349,32
1742,1743,335.391334,30
1744,1745,331.936639,58
1746,1747,260.410024,12
1752,1753,622.705041,24
1756,1757,574.524830,14
1758,1759,437.443520,32
1760,1761,534.470091,30
1762,1763,174.553560,30
1764,1765,151.077483,20
1768,1769,506.107437,12
1770,1771,807.526281,34
1772,1773,261.542063,44
1774,1775,280.290034,45
1776,1777,112.562673,30
1778,1779,299.702379,28
1783,1784,258.181794,24
1785,1786,697.820482,36
1787,1788,279.072678,50
1789,1790,675.457676,30
1792,1793,259.272767,50
1795,1796,206.466994,20
1797,1798,260.072633,14
1799,1800,368.937509,24
1819,1820,220.652367,25
1821,1822,43.728355,42
1823,1824,277.364265,32
1825,1826,816.518389,22
1827,1828,74.931322,60
1829,1830,103.993454,20
1831,1832,624.712154,36
1833,62,56.558969,70
1834,1835,586.397894,30
1836,1837,658.777103,38
1838,1839,261.800606,70
1840,1841,56.755917,30
1842,1843,182.710565,32
1844,1845,348.296268,24
1846,1847,259.877365,30
1849,1850,114.879059,8
1851,1852,523.054791,32
1856,1857,809.437372,30
1858,1859,502.850829,32
1869,1870,144.060307,28
1871,1872,280.945246,30
1874,1875,39.901764,40
1876,1877,260.574721,42
1878,1879,486.014790,30
1881,1882,779.176161,30
1884,1885,265.129456,20
1886,1887,602.406172,30
1888,1889,941.103776,60
1890,1891,383.655567,40
1892,1893,132.776247,28
1894,1895,422.972216,44
1896,1897,669.887920,30
1898,1899,34.433271,18
1900,1901,294.791268,60
1904,1905,272.344500,30
1906,1907,194.682281,42
