na,nb,road_length,road_width
80590,17517,282.121601,32
80591,16201,214.346632,25
14403,80592,33.854099,60
80594,66368,251.211574,32
80595,80596,260.855493,50
18318,80597,260.274536,42
80598,80599,456.057760,34
80600,76333,221.605136,40
80601,6393,261.151644,38
80603,80604,100.317247,10
80605,75108,899.656054,30
80608,54194,707.201171,50
80609,9985,1161.932860,40
80622,7204,919.888711,36
80627,80628,259.637960,18
80631,80632,51.949916,12
80636,80637,361.757860,26
80640,80641,232.987941,50
80643,67976,411.594124,28
80645,80646,780.399272,30
80648,12223,441.027831,30
75980,80649,182.016976,28
80650,80651,115.547371,0
80655,75736,332.315145,16
80656,80657,249.529608,50
67040,80658,363.942222,28
4175,75325,556.549393,30
80659,80660,260.620988,42
80661,80662,271.158544,48
8989,80663,164.296378,30
80664,80665,179.278684,33
80666,80667,219.411423,30
80668,80222,53.555397,40
80669,45341,258.349405,36
80673,80674,658.377741,30
80679,80680,748.147153,12
80681,10840,133.862090,14
16630,60872,450.811811,40
37431,76409,260.287078,28
28877,33905,890.973462,32
80682,80683,143.051750,30
80684,41377,348.066448,42
17234,80685,259.728517,40
80686,24384,138.105148,0
80689,15790,713.957736,60
80692,69298,286.371674,0
4159,80693,214.476006,18
80694,80695,646.998693,30
80696,80697,69.076979,26
80698,80699,325.822250,32
80700,62748,299.254507,84
54578,80701,248.324295,32
80835,80836,3748.366862,0
80841,80842,702.499622,0
80843,80844,254.237074,36
80845,80846,386.414073,30
80848,69311,682.198979,30
80849,80850,264.062903,30
80851,80852,276.457122,35
80853,80854,244.979475,36
80855,36081,151.730464,50
17682,17300,30.609734,0
80856,80857,152.633630,30
65139,80858,264.478532,30
80859,80860,29.043891,40
80861,80862,254.465026,36
80863,41406,249.737986,24
80864,80865,621.103847,34
34494,80866,260.841764,34
67290,80867,109.961683,30
80868,80869,491.726460,28
80876,69742,135.420592,24
49276,59607,807.888442,30
80877,27459,28.013596,60
80880,80881,468.008774,10
80883,11769,574.959637,30
80884,1779,190.900346,38
80885,55528,675.727333,30
80886,42923,779.562484,30
80888,35873,348.044422,30
80889,35951,114.705630,14
80924,671,194.666313,0
67222,80925,613.070406,30
80926,80927,250.134614,40
70060,80928,24.617005,30
80930,80863,625.343945,24
80931,80932,258.036648,36
80933,80934,265.035430,36
80935,80936,699.306236,30
80937,80938,177.241399,20
80942,80943,1091.168747,36
80944,69906,48.126092,40
80945,65797,57.163816,40
40128,80946,445.701981,26
57946,54632,64.054875,70
28608,80947,101.990701,50
80948,22046,805.597357,28
76497,12983,188.516348,38
80949,53924,424.579188,22
80950,75507,267.182388,32
80951,80952,563.494647,30
80953,80954,260.612828,45
59435,80955,620.348354,30
80957,80958,276.801710,30
80959,80960,261.285191,36
80961,7180,260.355427,44
58702,36611,191.338765,50
80963,9194,655.720446,35
50116,80964,389.587274,60
35040,73856,414.624539,42
7063,80965,674.994938,30
80969,80970,127.071853,14
9568,61939,266.399744,30
80971,80972,280.289790,30
80973,80974,292.293159,26
80975,80976,412.806842,48
20993,80977,780.123268,30
80978,80979,42.058584,26
80980,80981,165.673948,25
24680,80982,264.077403,40
81013,81014,293.069218,0
81015,11613,228.604356,24
81017,81018,420.263080,24
7166,36468,901.027341,34
6110,21383,250.785396,30
81019,968,274.247861,30
81020,70480,397.491490,0
81025,81026,1441.272945,36
72442,81027,259.835980,70
81028,44411,39.460488,32
81029,31586,879.988021,30
11943,81030,260.078713,36
43159,57238,240.084933,42
81031,81032,404.119377,30
1002,81033,117.685057,46
81034,81035,75.382775,26
81036,81037,283.417136,60
73203,81038,29.786105,36
81039,81040,254.659408,60
53996,81041,214.283233,22
7582,81042,258.693283,70
81048,81049,750.050184,0
81050,81051,290.391639,70
81052,29846,260.017463,36
81055,81056,443.986779,30
81058,81059,255.990701,12
81060,81061,81.338346,0
52926,81062,573.176524,28
48742,81063,27.660524,34
81064,81065,92.020653,30
81066,81067,277.382918,40
40913,81068,69.928827,30
81069,44876,260.393551,30
81070,81071,166.019820,24
48728,81072,256.434845,42
2021,81073,184.066147,20
81078,34838,158.536618,16
81079,81080,159.113697,20
60843,81081,196.049748,36
81083,81084,585.927298,30
50629,81085,778.925800,30
68763,81086,311.758483,32
81087,68139,259.915225,70
81103,46586,358.998742,28
81104,26326,260.344840,34
81105,81106,416.634216,30
81111,81112,760.670751,34
55811,81113,206.614835,34
81114,15931,192.455592,35
81115,81116,217.878660,30
81117,81118,338.128007,38
59134,55948,257.549121,36
81119,81120,67.513801,60
81121,35989,259.700789,35
81122,81123,111.233452,50
10080,63513,337.262021,30
75313,44832,282.542300,40
81125,69504,41.529552,30
81126,25686,264.902612,80
81128,81129,750.069717,24
72864,81130,258.654764,60
13922,81131,271.223729,24
81132,81133,132.550759,36
81134,81135,64.165925,40
69717,33650,233.649537,40
67229,81136,249.762391,34
81137,60400,198.337745,20
81138,81139,284.817274,0
81140,81141,106.456591,60
81142,81143,232.313723,10
81145,81146,130.945363,10
81147,81142,35.455504,10
28672,68110,260.284221,34
26382,81148,259.549513,34
81149,81150,256.235346,30
81193,81194,421.077120,0
74812,81195,583.956716,33
81197,81198,43.317367,42
81205,81206,88.614753,12
81207,74917,784.876319,36
45190,81208,51.825812,36
81209,35589,506.992524,30
19592,81210,129.579460,30
81211,81212,259.339763,30
81213,11612,249.398569,70
10787,81214,570.027657,30
81216,81217,465.340083,60
81224,53337,815.610853,32
46767,81225,506.627864,30
451,49092,335.673135,30
81226,67282,547.883737,30
37992,81227,269.764607,30
81228,31488,269.742246,40
81229,9076,156.949857,36
17890,81230,470.256772,45
81231,36630,270.231898,0
81232,25311,27.086808,60
81233,81234,53.512873,16
81235,29023,240.265422,30
81236,81237,439.536336,45
77330,58415,48.387061,24
81238,39219,258.285329,32
81244,81245,1267.566998,22
81249,81250,92.364542,22
12411,11355,461.226369,34
81251,81252,250.391740,34
81253,63728,318.975516,38
37555,81254,315.273821,50
81255,81256,279.264033,40
79438,81257,258.278324,30
17869,81258,250.204175,30
81264,69232,620.327280,32
81265,81266,177.922060,34
81267,8254,260.455670,30
81280,17833,297.387707,30
81283,62663,236.206743,0
81284,55309,259.003455,38
51583,81285,167.615566,30
81326,81327,232.967770,20
81328,81329,254.731769,34
81330,81331,14.743701,40
81332,8255,684.993379,30
81338,81339,291.856695,32
81340,53202,278.554380,44
81341,37597,253.190014,30
78370,81342,213.437312,38
81343,81344,325.291680,36
81345,81346,253.705873,32
5005,81347,259.917702,32
35291,81348,937.927266,30
81349,57072,259.946070,34
81350,81351,136.425484,22
81352,5605,251.287188,40
81353,61513,271.064445,30
81354,81355,265.352824,34
81356,81357,338.619306,70
81362,81363,157.593778,20
81385,81386,336.903952,62
81387,81388,323.804675,30
60701,31982,19.194806,52
81389,81390,271.116260,26
81397,81398,300.712513,20
81401,81402,244.835363,18
81403,1888,1019.010434,60
2198,2789,378.426722,30
23954,81404,409.339850,68
81405,81406,259.968200,30
81407,81408,319.516877,28
81409,71911,276.007412,30
81410,5575,266.297936,30
50969,1008,530.702030,30
12639,81411,645.782718,30
63195,81412,260.292897,30
35232,81413,534.241718,30
42639,72911,50.902550,24
81414,81415,254.198796,50
64359,81416,120.937145,32
81417,81418,237.360559,0
32058,51918,260.241838,60
81420,78432,87.580743,34
81421,81422,249.455189,30
79121,51857,276.218402,30
62057,6974,1022.403671,34
81428,12068,358.091075,32
70790,81429,317.699262,40
81430,16184,1144.840275,15
81432,81433,196.822448,30
81436,61953,238.309423,28
51735,61008,277.904991,36
3010,81437,27.340130,16
34149,81438,751.773626,30
81439,81440,246.543597,34
81442,81443,137.949993,10
81444,6186,260.106034,34
81445,81446,23.307852,46
81447,81448,413.713539,40
81449,81450,26.021112,32
81452,81453,728.198460,30
13625,81454,343.997609,16
46700,81455,919.145409,30
41045,81456,97.110897,15
81457,81458,777.068403,30
81459,81460,47.804329,30
81461,31735,789.808577,28
81462,56666,507.086075,32
81466,74415,104.987597,45
57253,19490,261.207975,42
81467,45867,75.552122,50
78296,81468,259.046159,30
81469,59070,72.116369,40
8747,81470,516.513295,30
31375,33374,779.628827,30
81471,75141,264.199826,48
81472,81473,479.703373,30
33645,77970,204.757509,26
81474,81475,475.164127,36
81477,81478,171.740536,0
71584,81479,262.486109,70
81480,81481,205.969197,30
69705,81482,499.225234,32
81483,81484,207.907730,60
79526,81485,350.812367,42
81519,81520,286.171015,16
81539,67002,349.704065,12
34781,7423,311.939540,30
52859,81541,74.885510,18
81542,81543,496.160811,34
81549,23403,240.344870,44
49153,55817,545.018013,28
78421,81550,262.058797,30
81551,81552,362.373100,36
71179,51747,78.236218,30
81553,17541,263.267752,44
81554,81555,120.851920,32
81556,81557,286.245031,44
81558,7645,260.541803,24
81562,23791,633.689281,32
81563,23583,24.654019,16
32396,81564,702.268284,30
81565,81566,262.527089,70
81567,3570,164.353223,12
81568,81569,219.448078,30
81570,48102,879.539563,30
62333,81571,559.240820,30
81572,65096,388.099130,30
81574,81575,589.283458,35
81579,81580,422.099426,14
22349,81581,291.379410,15
81583,81584,480.332591,0
55877,81585,181.461780,30
81588,81589,362.102022,32
67163,81590,492.529636,30
81591,81592,239.940340,52
81601,81602,908.289518,36
31553,17388,377.327723,30
81630,52938,316.550213,0
81631,77702,259.240957,34
81632,81633,16.552904,60
29552,74153,501.693116,30
81634,81635,775.309148,30
56194,73850,416.457123,30
81637,47235,568.760674,30
20479,68761,439.717078,30
7010,81638,26.286928,34
79816,73450,76.992746,18
81639,25306,470.278253,30
19130,81640,173.299993,66
81641,81251,720.503672,36
81642,81643,141.108739,30
12190,81644,250.844099,34
81645,81646,16.381357,30
81647,81648,79.000773,22
81651,81652,804.146354,18
81653,30103,280.707070,30
81664,64830,512.295551,32
81671,81672,103.607225,20
44452,2772,78.741642,20
81673,17041,64.461793,20
22573,56757,399.216166,32
81674,81675,171.307171,14
81676,9584,424.247906,30
81678,81679,935.407381,26
21306,76325,264.522714,0
81680,19535,851.533864,52
81681,33888,661.290797,32
47512,81682,693.680857,30
44309,81683,575.731139,30
81684,53794,203.080718,0
81686,40237,310.591314,20
81692,15906,139.814947,42
20810,7130,280.512264,60
81694,81695,145.180622,50
32717,81698,223.990153,0
81066,64062,513.484115,34
20526,81699,254.525413,44
81725,81726,327.604548,0
77589,81727,118.017560,30
81729,56052,176.827966,24
11485,73475,382.210314,18
81730,59086,107.103656,30
81731,41990,138.415149,30
81732,55808,268.053380,44
81742,81743,1318.042280,36
81744,81745,131.129401,28
81746,25165,278.867010,30
81747,81748,415.771473,32
75856,81749,837.784878,30
59427,81750,225.935170,30
81751,25738,147.002884,0
7254,32426,101.127093,32
17310,81752,380.665279,60
81755,53979,71.451274,0
81757,12324,219.717460,54
81758,81759,570.202570,30
20653,46533,303.332905,60
81760,81761,75.074681,0
25267,81762,402.085449,20
81763,81764,113.460923,0
81765,77115,109.812592,40
81766,81767,65.680802,0
81768,33607,259.711335,30
81806,81807,212.833299,30
79106,40365,259.693500,30
81808,40491,257.600017,36
29619,81809,279.238266,30
81810,81811,135.840781,30
81812,81813,135.400466,20
81814,81815,475.780030,45
81817,52987,39.922922,40
81818,81819,195.198049,36
81820,21450,780.755662,30
81821,6607,269.363610,56
81824,81825,121.788723,10
81826,81827,353.794636,26
20548,50316,319.934565,42
81828,26339,446.339051,30
81829,81830,249.989454,30
81832,69454,330.333566,32
81833,26158,271.417689,38
81834,81835,260.169823,34
19363,81836,281.721893,38
61842,81837,314.382300,34
57271,81838,866.260525,44
23363,10080,296.883483,26
81840,81841,380.382212,0
52875,81842,257.291067,30
81843,81844,284.156266,18
81845,81846,200.312082,16
81859,81860,364.897735,22
81861,50042,32.505413,70
81864,55695,595.217309,44
76877,42632,496.236966,40
81865,81866,415.476741,34
49212,4802,552.568753,60
81867,81868,260.417682,30
81869,81870,123.116672,36
78625,66780,250.839291,24
81871,25220,42.677999,30
81872,81873,259.744457,44
81874,81875,251.594194,30
71500,53035,745.017511,25
81885,81886,630.979252,18
23216,27629,260.127790,42
81887,81888,132.073444,30
81889,81890,263.459941,32
81891,26833,379.208503,50
81892,81893,153.181667,24
81896,81897,825.353412,32
9061,81898,199.542513,26
60738,23644,621.152827,48
81899,81900,155.536431,0
81902,81903,52.749017,50
12348,21220,31.518601,20
1400,14327,647.294924,60
80210,1005,594.519846,60
81904,1011,729.045916,32
81905,81906,71.492137,30
81911,40086,582.190388,30
44623,81912,445.603716,44
81913,81914,248.745669,26
3792,20536,257.433518,45
81916,81917,238.408530,42
81920,81921,233.967178,12
81922,81923,779.013531,30
81924,81925,929.920925,34
71013,76515,253.759644,30
9567,557,249.654043,30
81929,81930,175.783083,20
81931,14391,54.039344,58
81932,81933,261.342124,40
81934,5410,504.116071,28
81935,81936,677.744849,16
81948,81949,526.283881,15
63138,81950,607.470424,26
7247,81951,62.872127,20
34235,59180,417.060995,30
77687,81952,256.476287,40
81960,404,135.295161,22
81962,81963,141.583088,24
81966,81967,246.893812,48
81968,81969,223.942266,30
81970,81971,257.260727,30
81973,81974,721.145044,25
28901,81979,899.707672,30
76292,81980,251.429256,30
81982,81983,1161.628595,30
81986,81987,353.628834,12
81989,1669,30.767001,0
37948,81990,257.682591,70
81991,81992,259.989205,30
81997,81998,582.627080,12
10790,81999,548.621209,30
12403,82000,259.333006,42
82002,12670,526.897458,26
82003,82004,659.847692,30
82005,50404,302.269705,32
82006,82007,244.666885,45
82008,82009,395.424318,30
74401,22033,255.029695,36
82010,17536,870.308134,24
9707,64621,351.742876,32
82011,13862,255.864279,30
82012,82013,55.901278,60
8891,816,169.994204,36
82014,32277,542.076486,30
82017,79606,312.540183,30
82018,44826,350.585400,30
82020,82021,618.372467,30
27144,20636,361.358120,46
1505,82022,263.867242,60
82023,43941,255.985214,48
82025,57463,251.478317,0
82026,82027,28.861537,14
82028,46962,234.125150,40
82106,75226,809.212752,0
82107,82108,261.372930,50
82110,9510,322.856121,40
1222,82111,431.896824,50
82113,6340,310.108538,36
82114,49506,249.871156,38
76150,82115,251.772654,34
82117,82118,216.405776,32
82123,46526,423.653249,30
82126,60839,400.136718,12
82127,82128,408.323183,30
82129,82130,130.273041,50
82131,38513,464.959878,32
34465,82132,282.745817,50
82133,82134,371.964601,35
82135,82136,61.218158,34
40626,82137,199.822173,26
78497,82138,146.850851,30
65343,76321,259.611919,30
82146,82147,301.816786,10
82153,79971,902.290744,30
82160,50201,1091.430518,20
82163,82164,572.209109,44
15261,31977,260.182437,38
82165,82166,276.554794,34
82168,82169,137.114965,0
82170,82171,431.503125,34
10735,82172,53.391975,36
21308,51672,411.267608,30
53592,82173,282.080014,60
82174,81808,261.080974,36
82177,33595,235.103989,25
17872,82178,172.730780,24
82220,82221,93.208795,12
45382,31006,77.626937,34
27964,82222,147.142481,36
82223,82224,640.012106,30
16058,8525,259.783215,32
82225,82226,667.354234,30
82227,82228,296.065857,42
82232,66950,261.975973,30
82233,82234,419.054558,60
5990,14217,249.923137,30
41209,31056,869.775379,50
65406,82235,153.648539,24
82236,33002,260.106637,30
73092,82237,709.012712,36
31439,82238,197.619493,30
82239,82240,39.716238,0
82242,68393,50.407978,50
82244,82245,443.449648,38
82250,68819,599.740314,40
82254,82255,230.313712,20
82262,82263,729.601133,20
82268,82269,401.937382,20
82270,8202,288.211394,30
82275,82276,1046.552037,15
41318,82277,242.848102,24
82284,20885,1126.629689,30
82285,82286,569.566632,54
82287,48455,296.650620,30
2769,9017,203.001566,20
82288,5279,696.925609,30
82300,82301,222.030302,56
3694,73341,269.758581,42
82303,63678,152.205153,30
12354,82304,458.712101,44
82305,42726,283.197433,34
41564,82306,936.702092,30
82309,19997,238.997355,44
82311,82312,679.189356,30
82313,82314,259.084735,34
82317,82318,111.084913,18
82324,82325,542.150644,22
57262,82326,256.868313,34
56761,82327,554.953828,24
82328,82329,486.397413,38
25174,52069,469.434862,30
82330,64308,29.436976,60
17157,82331,245.244939,24
82332,82333,248.966700,30
66291,82334,260.846470,30
82335,48843,506.906108,60
28671,68109,260.141872,34
82340,82341,367.158405,10
82342,82343,20.015873,30
82344,82345,410.485046,30
81470,82346,403.450859,30
82347,82348,236.455348,32
32819,82349,249.878154,30
22658,82350,181.680680,38
82351,5790,201.709737,30
82352,63526,258.495644,30
82354,24737,34.221518,50
82356,78297,519.054121,36
82357,16210,1577.213251,50
45929,82358,190.696113,50
82364,82365,516.422986,38
82368,82369,589.275461,20
82370,14428,62.275593,27
82371,26784,260.339965,38
82372,82373,164.717539,40
82375,77883,465.299334,32
61005,39496,867.375396,30
79709,82376,580.220346,30
29227,81820,260.158016,30
81256,82377,259.453077,40
82381,73758,715.181076,34
82383,82384,44.428657,44
82386,82387,535.128389,28
82388,60462,260.245742,32
82390,82391,504.459486,16
82392,82393,59.154309,36
2163,82394,253.685621,40
82395,82396,225.246583,36
71656,59183,255.672786,40
82397,35543,87.062125,14
38701,82398,191.939388,28
82399,82400,260.023000,44
82401,82402,251.216960,33
82403,6881,173.891081,70
82418,82419,359.352419,18
68231,82420,550.305364,30
82433,82434,813.872969,14
58111,82435,254.769560,60
82437,82438,113.856786,32
82439,55314,66.508896,35
82441,82442,72.759073,30
82443,82444,240.240612,40
82447,82448,381.176271,22
82449,51947,269.513053,34
82450,3815,279.160353,44
82451,5666,123.863933,42
82452,82453,504.678487,30
68744,50529,706.904886,30
82454,75786,370.327829,34
29421,82455,263.671449,30
82456,82457,250.261687,30
82458,62747,247.768605,20
82459,82460,267.043364,32
82461,82462,259.921621,30
82463,40754,274.932329,44
45462,30167,101.964489,28
82465,41795,94.473677,32
82466,82467,462.241921,30
19587,82468,249.669603,30
82471,56677,245.218340,58
12527,82472,260.141732,30
82500,54564,2024.565127,22
82501,82502,27.484863,0
82503,37445,78.630801,16
3049,82504,260.933303,70
82505,58596,219.047833,60
82525,82526,107.914973,40
82527,29125,463.662842,30
21564,82528,411.283625,22
82529,82530,271.257126,32
39396,54409,61.464885,22
82531,17236,88.310794,0
82532,82533,63.563146,38
16755,82534,548.941798,30
59173,33257,855.391165,30
82535,82536,133.679434,14
45886,69876,46.756705,30
6840,7746,20.633754,36
82537,6179,239.640578,60
20252,67055,14.864074,62
82538,82539,554.894738,55
82540,42918,448.463387,30
82541,70394,779.203575,54
82542,82543,75.252601,46
82544,82545,49.920502,40
82547,82548,83.624299,8
25573,53536,120.618047,70
82550,9791,60.275582,42
4109,82551,259.949155,14
82552,82553,56.417086,30
62724,25397,102.467902,22
44878,82554,801.098245,30
82555,82556,259.837761,40
82558,82559,50.142418,44
6533,82560,166.316245,30
82561,82562,510.962743,30
82563,71846,249.569551,36
82571,82572,362.222142,30
82573,82574,385.364278,60
48641,5047,175.806861,60
82575,82576,264.837227,48
82577,11551,461.855409,30
82578,82579,861.946359,30
82580,82581,199.211840,45
82582,39823,266.142045,50
82583,82584,263.966309,28
65140,82585,321.751282,33
70338,82586,387.721529,30
82587,82588,300.818508,32
82606,82607,371.507433,36
82609,77132,274.524437,44
35904,49621,162.287091,34
79126,82610,259.445794,30
4306,82611,492.860737,28
82613,46525,693.886238,32
82614,82615,250.243188,42
82616,82617,143.584076,12
67060,16224,306.930365,24
19358,82618,108.682486,32
82619,11711,32.036821,0
82620,40369,298.364653,30
82621,35529,61.795405,44
57227,31899,251.043460,30
82628,82629,331.190233,50
82631,82632,88.585938,30
23014,82633,424.228773,30
82647,82648,965.759348,20
40775,63439,210.061647,20
82649,20077,265.220232,42
82651,4098,194.577979,20
82652,11075,1091.285071,36
82653,17215,347.731360,25
30548,53316,177.815013,40
45445,82654,240.536861,0
82655,82656,240.934027,52
82657,82658,832.291232,8
8439,14197,57.466334,60
82659,82660,270.064090,44
82665,52854,644.902639,0
65652,82666,259.639342,30
36786,82669,428.737188,34
82670,40082,319.098935,30
82671,82672,325.204591,30
82673,44662,364.820228,48
28057,82674,169.959671,40
82675,82676,119.673720,32
73465,82677,213.356456,45
82678,25142,291.997966,34
82683,82684,259.396290,12
41213,21754,259.441250,44
55645,82685,244.213625,50
10070,44903,276.768662,24
55794,37349,463.053085,38
82686,82687,565.698532,34
82692,82693,283.749219,22
39454,82694,247.141530,32
82695,1185,510.540793,30
82696,82697,170.097476,40
82698,60390,266.357605,32
82699,82700,296.821930,30
82727,7043,582.411906,30
46898,82728,260.011155,42
75269,6391,659.906426,35
41307,82729,96.417296,20
82730,82731,24.935895,30
82734,82441,668.021679,20
27422,82735,260.056279,32
82736,82737,262.784846,70
65271,2199,111.298234,30
82738,82739,232.056081,46
82740,82741,250.959001,34
77221,9688,677.491447,30
82742,9778,260.650062,30
14462,20810,325.721556,30
72770,74053,862.269291,30
82744,65488,49.613316,45
82763,27742,1058.449002,42
82766,82767,229.060464,20
82768,82769,52.404655,30
82770,82771,685.935472,30
81215,82772,320.649394,10
82773,82774,184.900912,30
75065,48023,254.511908,30
82775,82776,193.799814,25
82777,82778,399.112461,25
82779,69143,373.974269,64
36094,26758,45.366661,40
82780,24712,95.164398,60
82781,82782,24.343084,20
82789,82790,130.670201,12
44889,25601,178.044070,38
18934,29572,689.530508,30
82791,80395,260.073808,44
82792,43883,645.047026,26
16222,41637,500.510843,44
31510,20628,426.043458,22
6803,82793,259.711523,30
82794,82795,260.375759,30
48432,82796,224.299727,35
82797,82798,97.205358,28
82799,79110,674.416694,0
82800,993,466.958935,30
82801,82802,97.961587,28
82803,82804,287.632000,34
82807,21879,195.010191,14
41685,36133,132.545443,24
82808,28741,570.854140,34
82809,82810,148.405376,40
82811,62416,199.769848,20
82812,82813,759.389881,34
68139,82814,335.596857,30
82815,82816,283.751630,22
82817,65364,74.536631,42
48396,61195,376.137022,36
80133,80234,175.797262,40
82818,68882,250.002680,30
82819,82541,306.213988,52
82820,82821,263.306589,30
82824,82825,181.698680,0
47293,82826,250.219790,0
29225,82827,59.738266,30
82828,82829,973.415461,30
40111,82830,295.774418,26
41833,82831,204.013909,26
70789,79617,649.787682,30
82834,82835,257.713738,62
82836,13392,74.479897,24
82837,82838,129.144933,30
8213,81887,306.510704,44
47624,41279,67.455300,32
4697,80666,260.510228,40
82840,26229,653.069111,28
82841,82842,27.063692,30
82844,82845,35.623400,30
16485,10101,612.952884,30
82846,82847,353.727278,37
82848,29612,96.788950,18
82849,82850,579.410544,44
2998,82851,15.197146,32
82880,82881,1146.835100,28
82882,82883,753.923986,30
82884,18526,21.113678,46
82885,70672,778.957724,30
82886,36620,670.990264,34
23212,82887,260.033727,36
56972,82888,339.179754,26
16390,78454,305.908849,42
82889,82890,254.962390,34
23604,82891,269.897200,44
82892,82893,269.509139,32
82894,82895,628.629661,50
64838,5000,25.623639,30
82897,82898,699.488068,30
40649,82899,300.371375,35
82900,82901,134.009224,30
58332,67894,247.407774,32
82902,82903,549.199152,30
14103,82904,245.456321,30
51664,82905,835.904831,32
21547,82906,260.429036,30
60560,46757,292.010561,42
82907,82908,227.918598,24
82909,82910,38.696886,22
9355,68736,308.800803,34
82912,82913,340.454670,32
82914,34219,560.317519,30
82915,39246,819.450314,34
82916,37233,283.734144,38
82979,74412,872.966111,60
82980,82981,148.362005,70
67086,12292,488.377085,56
82982,77690,260.466965,40
47671,82983,251.644057,40
82984,82985,220.054937,20
57689,29546,485.095154,30
82987,82988,707.712943,30
82989,12281,300.667718,30
29135,61443,137.578781,40
82991,59427,472.975016,30
82992,82993,263.363586,50
82999,37687,865.812858,34
83000,83001,259.555016,35
83002,83003,30.028145,30
83004,47644,161.965908,32
83005,46844,157.909867,60
83007,34889,248.409565,32
64383,29022,539.438460,32
83008,83009,800.485236,54
83010,83011,260.207531,44
16806,68108,224.269961,38
83012,83013,260.678970,32
60546,83014,203.498773,30
83015,82384,256.819357,30
83016,83017,217.670920,64
83018,78947,32.046957,34
83019,83020,133.289974,30
83021,83022,536.220498,30
83032,83033,1213.565496,34
83034,72318,689.379161,30
83035,83036,294.724162,34
83037,37628,259.312422,30
20814,83038,66.384960,24
68881,83039,249.819004,30
73162,30111,260.306082,44
1727,83040,179.959990,20
83041,15080,396.906902,32
83042,83043,507.822058,30
15941,82344,257.081304,30
83044,83045,717.996815,35
83046,81554,697.973138,32
33000,83047,66.952986,0
83049,83050,644.410181,25
83051,25412,70.740093,40
60137,83052,479.028003,40
83054,83055,29.065169,32
61652,83057,608.283261,30
81113,83058,430.971711,34
83059,83060,227.686745,32
50706,15428,252.265017,38
83061,83062,670.923844,30
83076,83077,2289.910965,46
35130,83078,248.400602,30
83079,83080,249.160988,28
83081,75036,206.802287,38
48690,83082,578.193124,30
59861,52920,679.304501,44
83083,83084,259.501503,30
83085,30159,248.852697,30
30677,83086,249.725853,24
83087,24388,120.470752,0
83088,61414,843.337022,36
14196,83089,291.435305,30
83090,83091,130.954486,48
83092,389,475.317723,30
83093,83094,138.123262,30
83095,83096,195.736445,12
83097,9038,340.140414,28
17249,17250,322.912621,36
83099,83100,439.184396,60
54012,22381,267.271522,26
52066,83101,779.171382,30
83103,71630,753.411329,45
83104,48178,75.747726,60
83106,8267,415.943222,24
83107,58727,271.821391,38
83108,83109,645.775307,36
39447,5236,44.203928,40
83110,83111,252.694059,12
32687,24022,278.298800,38
83115,83116,442.503946,12
83150,83151,81.911945,30
83163,83164,1267.856968,40
51423,81950,255.147552,34
83170,83171,605.900659,16
55929,44244,345.580162,28
12674,34789,793.296941,32
83174,45917,376.610057,16
83176,50361,617.068657,34
9972,83177,108.647888,30
83178,83179,185.074802,28
83180,83181,28.130498,40
77803,12443,275.373547,24
83182,54969,469.892537,24
37279,12941,26.709787,42
83183,10887,66.051112,0
83184,83185,443.828065,30
40780,27299,261.105161,54
83186,83187,47.255464,45
83194,83195,255.212183,30
24176,83196,447.546557,30
83207,74047,260.013590,44
83208,83209,260.008670,44
50749,83210,249.592895,35
83211,47921,303.798892,30
32998,83212,530.113389,34
83213,21556,880.088249,22
83214,83215,278.405286,35
83216,83217,240.020732,32
83218,83219,377.354379,40
83220,72940,259.536341,42
40,16180,266.691630,35
16202,83221,37.538035,30
83222,23641,226.057235,26
48585,23238,271.662855,34
83223,83224,146.628224,0
22609,83225,278.349196,46
83226,83227,260.614952,34
83228,83229,258.476242,30
83233,83234,778.844263,36
56145,25618,319.413943,34
83235,83236,680.460853,60
83237,83238,456.338544,24
83241,83242,131.855956,16
83243,23308,74.933964,50
83251,83252,169.142162,10
71612,31500,258.603744,34
83255,31391,904.438668,30
83256,35119,179.476822,30
83276,64784,605.819567,34
83277,74773,276.929033,26
83278,83279,283.733108,50
27528,935,261.103286,44
83283,83284,183.409621,20
83288,41914,181.076214,60
83290,43647,114.658105,0
66527,83291,248.568771,30
83292,83293,259.522362,42
83294,83295,149.191221,50
83296,83297,258.017211,30
70508,83298,267.004924,32
83299,83300,544.954152,30
83301,23171,105.249862,10
83302,83303,259.997924,44
83304,31001,221.196528,20
73334,83305,459.640577,24
83306,83307,59.182438,26
83314,83315,1566.451947,34
57763,83316,253.964594,30
83317,83318,298.841805,20
83319,3838,46.934257,42
83320,83321,44.323893,18
50152,83322,587.081249,30
83323,83324,204.358084,22
53376,83325,350.474639,28
83326,83327,5.670028,0
3452,83328,89.826800,30
83329,83330,279.845939,54
83331,83332,514.056026,54
83333,83334,260.102181,45
83338,83339,243.421619,8
18905,16293,474.716272,30
34956,83340,261.874047,20
83341,83342,666.642330,30
83343,83344,608.504597,34
83346,83347,417.652088,20
11638,69814,261.882336,50
83350,83351,255.799127,46
83352,83353,511.477568,33
60687,36483,261.439223,32
8232,83354,23.184814,30
30546,36216,186.315878,0
47645,83355,260.921407,30
83356,83357,466.016402,32
76389,14432,720.660726,32
83359,83360,1043.685806,22
83361,18024,249.122896,30
83369,83370,349.361858,42
76101,83371,260.262576,34
13620,83372,293.156535,60
83373,51895,172.715016,30
83374,83375,27.916609,30
83379,83380,414.925851,50
83381,83382,527.750033,32
